original,alternative,ratio
vanilla dried,rice fresh,0.9
baking soda,baking soda fresh,0.59
vegetable oil dried,butter,0.67
egg dried,cheese dried,0.87
rice organic,almond sliced,0.97
carrot grated,lentils grated,0.83
shrimp powder,rice grated,0.73
honey dried,baking powder organic,0.61
carrot,rice organic,0.74
beef powder,fish organic,0.65
oats dried,strawberry grated,0.69
rice powder,vegetable oil sliced,0.58
tofu powder,milk grated,0.92
pasta organic,onion powder,0.63
strawberry organic,salt sliced,0.66
milk dried,flour sliced,0.9
strawberry organic,butter fresh,0.97
carrot fresh,egg fresh,0.88
beans grated,beans sliced,0.5
blueberry fresh,egg powder,0.74
oats,egg powder,0.68
olive oil sliced,garlic grated,0.75
rice fresh,olive oil powder,0.99
mushroom organic,blueberry fresh,0.56
almond sliced,lamb fresh,0.57
mushroom,pepper grated,0.65
lentils dried,pasta dried,0.8
honey dried,chocolate fresh,0.9
beef,oats sliced,0.95
lemon powder,cheese sliced,0.57
onion dried,sugar,0.7
egg organic,strawberry dried,0.68
lamb fresh,vanilla,0.67
shrimp fresh,corn fresh,0.99
chickpeas grated,potato organic,0.67
lemon powder,egg grated,0.6
banana sliced,tofu powder,0.71
olive oil dried,tomato paste fresh,0.95
almond grated,corn fresh,0.52
salt grated,yogurt sliced,0.93
corn sliced,parmesan fresh,0.61
carrot powder,banana organic,0.53
beef sliced,onion sliced,0.68
lemon fresh,baking soda powder,0.5
pepper dried,corn sliced,0.57
lentils organic,fish dried,0.55
mushroom organic,cheese dried,0.84
parmesan organic,milk organic,0.9
mushroom,cheese dried,0.92
corn sliced,salt dried,0.58
butter fresh,onion powder,0.89
tomato fresh,chicken organic,0.92
banana organic,chicken organic,0.65
potato grated,milk powder,1.0
fish sliced,carrot powder,0.7
honey grated,potato fresh,0.93
sugar fresh,blueberry sliced,0.69
blueberry grated,yogurt organic,0.92
salt powder,shrimp dried,0.79
rice dried,sugar organic,0.62
lentils sliced,beans sliced,0.82
rice organic,corn organic,0.64
flour fresh,olive oil sliced,0.51
sugar,salt grated,0.8
flour sliced,almond grated,0.93
lentils organic,parmesan fresh,0.55
baking soda powder,tomato paste,0.73
baking powder,salt organic,0.87
parmesan dried,salt grated,0.88
apple fresh,lemon sliced,0.94
tomato organic,beans organic,0.9
baking powder dried,lime sliced,0.99
milk fresh,tomato paste sliced,0.64
milk,apple fresh,0.85
sugar sliced,lamb sliced,0.81
peas sliced,pasta fresh,0.83
rice powder,cream powder,0.51
tofu,lemon fresh,0.97
strawberry sliced,beans grated,0.57
vanilla sliced,yogurt organic,0.57
honey sliced,onion fresh,0.75
cheese fresh,lentils fresh,0.71
lemon powder,chicken sliced,0.97
beef sliced,lime sliced,0.9
potato organic,vanilla sliced,0.75
zucchini,blueberry grated,0.8
lime powder,vanilla,0.91
honey,vanilla organic,0.81
butter,baking soda sliced,1.0
flour organic,milk fresh,0.62
baking soda powder,lemon sliced,0.62
lamb dried,zucchini grated,0.94
butter grated,flour dried,0.96
garlic,lemon dried,0.78
garlic grated,banana fresh,0.88
cheese dried,milk grated,0.88
almond,rice sliced,0.88
vegetable oil organic,zucchini powder,0.55
sugar organic,parmesan grated,0.98
vanilla,pepper,0.65
flour organic,sugar sliced,0.91
egg powder,lime fresh,0.68
rice fresh,lamb dried,0.71
egg organic,tomato paste grated,0.77
chicken organic,milk organic,0.99
garlic sliced,parmesan powder,0.94
cheese organic,tofu,0.65
lemon dried,carrot fresh,0.61
corn organic,cream powder,0.65
cheese fresh,carrot organic,0.77
olive oil sliced,rice sliced,0.53
strawberry organic,milk powder,0.5
baking powder powder,peas powder,0.77
parmesan grated,banana dried,0.65
tofu fresh,egg powder,0.96
olive oil sliced,garlic sliced,0.68
vegetable oil dried,blueberry,0.92
rice powder,milk,0.53
beans grated,shrimp sliced,0.81
egg organic,garlic organic,0.71
honey grated,yogurt organic,0.67
pasta grated,potato sliced,0.59
vegetable oil grated,shrimp dried,0.63
olive oil organic,chicken sliced,0.61
lime fresh,onion organic,0.69
onion grated,tomato paste powder,0.66
egg grated,tofu dried,0.98
zucchini dried,noodles dried,0.61
beef fresh,lime,0.68
baking powder powder,banana grated,0.51
baking soda powder,honey grated,0.91
tomato paste grated,honey powder,0.89
baking soda fresh,parmesan,0.55
tomato paste dried,baking powder grated,0.71
corn organic,blueberry,0.82
fish sliced,tomato sliced,0.65
almond powder,lemon,0.79
flour sliced,vegetable oil sliced,0.64
shrimp,cheese sliced,0.67
lamb,shrimp sliced,0.9
milk dried,almond grated,0.95
egg,chicken grated,0.98
egg powder,yogurt organic,0.82
parmesan grated,pepper,0.95
flour fresh,almond,0.78
almond organic,zucchini grated,0.98
sugar organic,almond,0.55
parmesan,blueberry,0.5
chickpeas dried,salt organic,0.72
peas grated,blueberry,0.89
garlic organic,tomato organic,0.87
chocolate dried,honey dried,0.81
fish organic,carrot powder,0.62
corn fresh,honey dried,0.91
corn fresh,rice grated,0.87
lemon organic,chickpeas dried,0.69
banana fresh,strawberry grated,0.78
banana powder,shrimp organic,0.8
pasta organic,vegetable oil organic,0.74
beef grated,beef organic,0.87
milk powder,olive oil,0.81
lime fresh,peas powder,0.64
pasta grated,flour,0.55
onion sliced,yogurt sliced,0.94
potato grated,tomato paste grated,0.74
pepper grated,olive oil powder,0.9
beef grated,vanilla organic,0.95
tomato paste powder,onion grated,1.0
peas powder,noodles fresh,0.88
chocolate grated,blueberry grated,0.56
zucchini,baking powder organic,0.94
carrot fresh,cream sliced,0.58
cheese fresh,peas grated,0.54
banana dried,tofu fresh,0.74
cheese organic,banana sliced,0.64
corn sliced,onion grated,0.7
vegetable oil sliced,mushroom,0.61
baking soda fresh,egg organic,0.53
sugar,pasta grated,0.78
pasta fresh,noodles fresh,0.68
cream powder,beans grated,0.61
lemon dried,lime,0.67
sugar powder,lemon dried,0.73
flour,garlic organic,0.53
yogurt dried,potato powder,0.88
beef,lime,0.83
lime,egg dried,0.5
pepper grated,cream powder,0.93
baking soda sliced,pasta fresh,0.94
carrot,fish,0.67
potato powder,bread sliced,0.89
almond grated,milk fresh,0.93
chicken sliced,cheese sliced,0.66
pasta organic,almond organic,0.96
vegetable oil dried,oats dried,0.98
carrot fresh,fish dried,0.98
peas sliced,mushroom sliced,0.78
almond,sugar organic,0.72
chickpeas dried,banana organic,0.73
lamb fresh,tomato organic,0.6
